*** New Session***
03-11-2021 10:04:57
Product Name: forerunner
232559000 : Rx: [80][FF][FF][FF][F0][3A][A6][32]
232559250 : Rx: [80][FF][FF][FF][F0][3A][A6][32]
232559500 : Rx: [80][FF][FF][FF][F0][3A][A6][32]
232559750 : Rx: [00][FF][FF][FF][BC][3F][A7][32]
232560000 : Rx: [00][FF][FF][FF][BC][3F][A7][32]
232560234 : Rx: [00][FF][FF][FF][BC][3F][A7][32]
232560484 : Rx: [00][FF][FF][FF][BC][3F][A7][32]
232560734 : Rx: [80][FF][FF][FF][BC][3F][A7][32]
232560984 : Rx: [80][FF][FF][FF][88][44][A8][32]
232561218 : Rx: [80][FF][FF][FF][88][44][A8][32]
232561468 : Rx: [80][FF][FF][FF][88][44][A8][32]
232561718 : Rx: [00][FF][FF][FF][88][44][A8][32]
232561968 : Rx: [00][FF][FF][FF][88][44][A8][32]
232562203 : Rx: [00][FF][FF][FF][54][49][A9][32]
232562453 : Rx: [00][FF][FF][FF][54][49][A9][32]
232562703 : Rx: [80][FF][FF][FF][54][49][A9][32]
232562953 : Rx: [80][FF][FF][FF][54][49][A9][32]
232563187 : Rx: [80][FF][FF][FF][54][49][A9][32]
232563437 : Rx: [80][FF][FF][FF][20][4E][AA][32]
232563687 : Rx: [00][FF][FF][FF][20][4E][AA][32]
232563937 : Rx fail
232564171 : Rx: [00][FF][FF][FF][20][4E][AA][32]
232564421 : Rx: [00][FF][FF][FF][20][4E][AA][32]
232564671 : Rx: [80][FF][FF][FF][EC][52][AB][32]
232564921 : Rx: [80][FF][FF][FF][EC][52][AB][32]
232565171 : Rx: [80][FF][FF][FF][EC][52][AB][32]
232565406 : Rx: [80][FF][FF][FF][EC][52][AB][32]
232565656 : Rx: [00][FF][FF][FF][EC][52][AB][32]
232565906 : Rx: [00][FF][FF][FF][B8][57][AC][32]
232566140 : Rx: [00][FF][FF][FF][B8][57][AC][32]
232566390 : Rx: [00][FF][FF][FF][B8][57][AC][32]
232566640 : Rx: [80][FF][FF][FF][B8][57][AC][32]
232566890 : Rx: [80][FF][FF][FF][84][5C][AD][32]
232567140 : Rx: [80][FF][FF][FF][84][5C][AD][32]
232567375 : Rx: [80][FF][FF][FF][84][5C][AD][32]
232567625 : Rx: [00][FF][FF][FF][84][5C][AD][32]
232567875 : Rx: [00][FF][FF][FF][84][5C][AD][32]
232568125 : Rx: [00][FF][FF][FF][50][61][AE][32]
232568359 : Rx: [00][FF][FF][FF][50][61][AE][32]
