*** New Session***
10-11-2021 09:05:00
Product Name: forerunner
87665218 : Rx: [00][FF][FF][FF][AF][1F][B7][46]
87665468 : Rx: [00][FF][FF][FF][AF][1F][B7][46]
87665718 : Rx: [80][FF][FF][FF][AF][1F][B7][45]
87665953 : Rx: [80][FF][FF][FF][29][23][B8][45]
87666203 : Rx: [80][FF][FF][FF][29][23][B8][45]
87666453 : Rx: [80][FF][FF][FF][29][23][B8][45]
87666703 : Rx: [00][FF][FF][FF][A3][26][B9][45]
87666937 : Rx: [00][FF][FF][FF][A3][26][B9][45]
87667187 : Rx: [00][FF][FF][FF][A3][26][B9][45]
87667437 : Rx: [00][FF][FF][FF][A3][26][B9][45]
87667687 : Rx: [80][FF][FF][FF][1D][2A][BA][45]
87667937 : Rx: [80][FF][FF][FF][1D][2A][BA][45]
87668171 : Rx: [80][FF][FF][FF][1D][2A][BA][45]
87668421 : Rx fail
87668671 : Rx: [02][01][94][C8][97][2D][BB][45]
87668921 : Rx: [02][01][94][C8][97][2D][BB][45]
87669156 : Rx fail
87669406 : Rx: [02][01][94][C8][11][31][BC][45]
87669656 : Rx: [80][FF][FF][FF][11][31][BC][46]
87669906 : Rx: [80][FF][FF][FF][11][31][BC][46]
87670140 : Rx: [80][FF][FF][FF][7E][34][BD][46]
87670390 : Rx fail
87670640 : Rx: [00][FF][FF][FF][7E][34][BD][46]
87670890 : Rx fail
87671125 : Rx: [00][FF][FF][FF][DF][37][BE][47]
87671375 : Rx: [00][FF][FF][FF][DF][37][BE][47]
87671625 : Rx fail
87671875 : Rx fail
87672125 : Rx: [80][FF][FF][FF][1D][3B][BF][4A]
87672359 : Rx fail
87672609 : Rx: [00][FF][FF][FF][5B][3E][C0][4A]
87672859 : Rx: [00][FF][FF][FF][5B][3E][C0][4B]
87673093 : Rx fail
87673343 : Rx: [00][FF][FF][FF][5B][3E][C0][4B]
87673593 : Rx: [80][FF][FF][FF][8E][41][C1][4B]
87673843 : Rx: [80][FF][FF][FF][8E][41][C1][4C]
87674093 : Rx fail
