*** New Session***
08-11-2021 15:03:59
Product Name: Hrm-Pro
281183515 : Rx: [84][00][A0][0D][CF][10][04][4C]
281183765 : Rx: [84][00][A0][0D][CF][10][04][4C]
281184015 : Rx fail
281184265 : Rx fail
281184500 : Rx fail
281184750 : Rx: [04][00][C2][13][A7][16][06][4E]
281185000 : Rx: [84][00][C2][13][A7][16][06][4E]
281185250 : Rx: [84][00][A7][16][57][19][07][50]
281185484 : Rx: [84][00][A7][16][57][19][07][50]
281185734 : Rx: [84][00][A7][16][57][19][07][50]
281185984 : Rx fail
281186234 : Rx fail
281186484 : Rx: [04][00][57][19][2E][1C][08][52]
281186718 : Rx: [04][00][2E][1C][F5][1E][09][54]
281186968 : Rx: [89][FC][FF][FF][F5][1E][09][54]
281187218 : Rx: [89][FC][FF][FF][F5][1E][09][54]
281187468 : Rx fail
281187703 : Rx: [89][FC][FF][FF][C3][21][0A][55]
281187953 : Rx: [04][00][C3][21][89][24][0B][56]
281188203 : Rx: [04][00][C3][21][89][24][0B][56]
281188453 : Rx fail
281188687 : Rx: [79][42][2A][06][8D][27][0C][56]
281188937 : Rx: [84][00][89][24][8D][27][0C][56]
281189187 : Rx: [84][00][89][24][8D][27][0C][56]
281189437 : Rx: [84][00][8D][27][B6][2A][0D][53]
281189671 : Rx fail
281189921 : Rx fail
281190171 : Rx fail
281190421 : Rx fail
281190656 : Rx: [04][00][B6][2A][EA][2D][0E][50]
281190906 : Rx: [84][00][B6][2A][EA][2D][0E][50]
281191156 : Rx: [84][00][EA][2D][08][31][0F][4E]
281191406 : Rx: [84][00][EA][2D][08][31][0F][4E]
281191640 : Rx: [84][00][EA][2D][08][31][0F][4E]
281191890 : Rx: [04][00][08][31][3F][34][10][4C]
281192140 : Rx: [04][00][08][31][3F][34][10][4C]
281192390 : Rx: [04][00][08][31][3F][34][10][4C]
281192640 : Rx: [04][00][08][31][3F][34][10][4C]
281192875 : Rx: [84][00][3F][34][42][37][11][4D]
281193125 : Rx: [84][00][3F][34][42][37][11][4D]
281193375 : Rx: [84][00][3F][34][42][37][11][4D]
281193625 : Rx: [84][00][42][37][5B][3A][12][4D]
281193859 : Rx: [04][00][42][37][5B][3A][12][4D]
281194109 : Rx: [04][00][42][37][5B][3A][12][4D]
281194359 : Rx fail
281194609 : Rx: [04][00][5B][3A][5D][3D][13][4E]
281194843 : Rx: [84][00][5B][3A][5D][3D][13][4E]
281195093 : Rx fail
281195343 : Rx fail
281195593 : Rx: [84][00][14][40][E5][42][15][52]
281195828 : Rx fail
281196078 : Rx fail
281196328 : Rx: [04][00][E5][42][B6][45][16][53]
281196578 : Rx: [04][00][E5][42][B6][45][16][53]
281196828 : Rx: [84][00][E5][42][B6][45][16][53]
281197062 : Rx: [84][00][B6][45][67][48][17][54]
281197312 : Rx: [84][00][B6][45][67][48][17][54]
281197562 : Rx: [84][00][B6][45][67][48][17][54]
281197796 : Rx fail
281198046 : Rx: [04][00][67][48][4B][4B][18][55]
281198296 : Rx: [79][52][00][03][1D][4E][19][55]
281198546 : Rx: [04][00][4B][4B][1D][4E][19][55]
281198796 : Rx: [84][00][4B][4B][1D][4E][19][55]
281199031 : Rx: [84][00][4B][4B][1D][4E][19][55]
281199281 : Rx: [84][00][1D][4E][AC][50][1A][55]
281199531 : Rx: [84][00][1D][4E][AC][50][1A][55]
