*** New Session***
03-11-2021 10:04:34
Product Name: hrm-pro
232526312 : Rx: [F9][42][C3][04][45][0B][83][2F]
232526546 : Rx: [84][00][0D][06][45][0B][83][2F]
232526796 : Rx: [84][00][0D][06][45][0B][83][2F]
232527046 : Rx: [04][00][0D][06][45][0B][83][2F]
232527296 : Rx: [04][00][45][0B][1E][10][84][2F]
232527546 : Rx: [04][00][45][0B][1E][10][84][2F]
232527781 : Rx: [04][00][45][0B][1E][10][84][2F]
232528031 : Rx: [84][00][45][0B][1E][10][84][2F]
232528281 : Rx: [84][00][45][0B][1E][10][84][2F]
232528531 : Rx: [84][00][1E][10][99][15][85][2E]
232528765 : Rx: [84][00][1E][10][99][15][85][2E]
232529015 : Rx: [04][00][1E][10][99][15][85][2E]
232529265 : Rx: [04][00][1E][10][99][15][85][2E]
232529515 : Rx: [79][52][01][01][99][15][85][2E]
232529750 : Rx: [04][00][99][15][88][1A][86][30]
232530000 : Rx: [84][00][99][15][88][1A][86][30]
232530250 : Rx: [84][00][99][15][88][1A][86][30]
232530500 : Rx: [84][00][99][15][88][1A][86][30]
232530734 : Rx: [84][00][99][15][88][1A][86][30]
232530984 : Rx: [04][00][88][1A][9E][1F][87][2F]
232531234 : Rx: [04][00][88][1A][9E][1F][87][2F]
232531484 : Rx: [04][00][88][1A][9E][1F][87][2F]
232531718 : Rx fail
232531968 : Rx: [84][00][88][1A][9E][1F][87][2F]
232532218 : Rx: [84][00][9E][1F][1A][25][88][2F]
232532468 : Rx: [84][00][9E][1F][1A][25][88][2F]
232532703 : Rx: [F9][42][AA][04][1A][25][88][2F]
232532953 : Rx: [04][00][9E][1F][1A][25][88][2F]
232533203 : Rx: [04][00][9E][1F][1A][25][88][2F]
232533453 : Rx: [04][00][9E][1F][1A][25][88][2F]
232533687 : Rx: [04][00][1A][25][EA][29][89][2F]
232533937 : Rx fail
232534187 : Rx: [84][00][1A][25][EA][29][89][2F]
232534437 : Rx: [84][00][1A][25][EA][29][89][2F]
232534687 : Rx: [84][00][1A][25][EA][29][89][2F]
232534921 : Rx: [04][00][EA][29][36][2F][8A][2E]
232535171 : Rx: [04][00][EA][29][36][2F][8A][2E]
232535421 : Rx: [04][00][EA][29][36][2F][8A][2E]
232535671 : Rx: [04][00][EA][29][36][2F][8A][2E]
232535906 : Rx: [84][00][EA][29][36][2F][8A][2E]
232536156 : Rx: [84][00][36][2F][5F][34][8B][2E]
232536406 : Rx fail
232536656 : Rx: [84][00][36][2F][5F][34][8B][2E]
232536890 : Rx: [04][00][36][2F][5F][34][8B][2E]
232537140 : Rx fail
232537390 : Rx: [04][00][5F][34][97][39][8C][2E]
232537640 : Rx: [04][00][5F][34][97][39][8C][2E]
232537890 : Rx: [84][00][5F][34][97][39][8C][2E]
232538125 : Rx: [84][00][5F][34][97][39][8C][2E]
232538375 : Rx fail
232538625 : Rx: [84][00][5F][34][97][39][8C][2E]
232538875 : Rx: [04][00][97][39][3C][3E][8D][2E]
232539109 : Rx: [79][42][9C][04][3C][3E][8D][2E]
232539359 : Rx: [04][00][97][39][3C][3E][8D][2E]
232539609 : Rx: [04][00][97][39][3C][3E][8D][2E]
232539859 : Rx: [89][FC][FF][FF][45][42][8E][31]
232540093 : Rx: [89][FC][FF][FF][45][42][8E][31]
232540343 : Rx: [89][FC][FF][FF][45][42][8E][31]
232540593 : Rx: [89][FC][FF][FF][45][42][8E][31]
232540843 : Rx: [04][00][45][42][7A][47][8F][31]
232541078 : Rx: [04][00][45][42][7A][47][8F][31]
232541328 : Rx: [04][00][45][42][7A][47][8F][31]
232541578 : Rx: [04][00][45][42][7A][47][8F][31]
232541828 : Rx: [84][00][45][42][7A][47][8F][31]
232542062 : Rx: [84][00][7A][47][E3][4B][90][31]
232542312 : Rx: [84][00][7A][47][E3][4B][90][31]
232542562 : Rx: [84][00][7A][47][E3][4B][90][31]
232542812 : Rx: [04][00][7A][47][E3][4B][90][31]
232543046 : Rx: [04][00][7A][47][E3][4B][90][31]
232543296 : Rx: [04][00][E3][4B][AE][50][91][31]
232543546 : Rx: [04][00][E3][4B][AE][50][91][31]
232543796 : Rx: [84][00][E3][4B][AE][50][91][31]
232544046 : Rx: [84][00][E3][4B][AE][50][91][31]
232544281 : Rx: [84][00][E3][4B][AE][50][91][31]
232544531 : Rx: [84][00][AE][50][9E][55][92][31]
232544781 : Rx: [04][00][AE][50][9E][55][92][31]
232545031 : Rx: [04][00][AE][50][9E][55][92][31]
232545265 : Rx: [04][00][AE][50][9E][55][92][31]
232545515 : Rx: [04][00][AE][50][9E][55][92][31]
232545765 : Rx: [84][00][9E][55][FC][59][93][32]
232546015 : Rx: [84][00][9E][55][FC][59][93][32]
232546250 : Rx fail
232546500 : Rx: [84][00][9E][55][FC][59][93][32]
232546750 : Rx: [04][00][FC][59][CF][5E][94][32]
232547000 : Rx: [04][00][FC][59][CF][5E][94][32]
232547234 : Rx: [04][00][FC][59][CF][5E][94][32]
232547484 : Rx: [04][00][FC][59][CF][5E][94][32]
232547734 : Rx: [84][00][FC][59][CF][5E][94][32]
232547984 : Rx: [84][00][CF][5E][E7][63][95][32]
232548218 : Rx: [84][00][CF][5E][E7][63][95][32]
232548468 : Rx: [84][00][CF][5E][E7][63][95][32]
232548718 : Rx: [04][00][CF][5E][E7][63][95][32]
232548968 : Rx: [04][00][CF][5E][E7][63][95][32]
232549218 : Rx: [04][00][E7][63][7F][68][96][32]
232549453 : Rx: [04][00][E7][63][7F][68][96][32]
232549703 : Rx: [84][00][E7][63][7F][68][96][32]
232549953 : Rx: [84][00][E7][63][7F][68][96][32]
232550203 : Rx: [84][00][E7][63][7F][68][96][32]
232550437 : Rx: [84][00][7F][68][80][6D][97][31]
232550687 : Rx: [04][00][7F][68][80][6D][97][31]
232550937 : Rx: [04][00][7F][68][80][6D][97][31]
232551187 : Rx: [04][00][7F][68][80][6D][97][31]
232551421 : Rx: [04][00][7F][68][80][6D][97][31]
232551671 : Rx: [84][00][80][6D][AD][72][98][30]
232551921 : Rx: [F9][42][A1][04][AD][72][98][30]
232552171 : Rx: [84][00][80][6D][AD][72][98][30]
232552406 : Rx: [84][00][80][6D][AD][72][98][30]
232552656 : Rx: [04][00][80][6D][AD][72][98][30]
232552906 : Rx: [04][00][AD][72][20][77][99][30]
232553156 : Rx: [04][00][AD][72][20][77][99][30]
232553390 : Rx: [04][00][AD][72][20][77][99][30]
232553640 : Rx: [84][00][AD][72][20][77][99][30]
232553890 : Rx: [84][00][AD][72][20][77][99][30]
232554140 : Rx: [84][00][20][77][3E][7C][9A][30]
232554390 : Rx: [84][00][20][77][3E][7C][9A][30]
232554625 : Rx: [04][00][20][77][3E][7C][9A][30]
232554875 : Rx: [04][00][20][77][3E][7C][9A][30]
232555125 : Rx: [04][00][20][77][3E][7C][9A][30]
232555375 : Rx: [04][00][3E][7C][07][81][9B][31]
232555609 : Rx: [84][00][3E][7C][07][81][9B][31]
232555859 : Rx: [84][00][3E][7C][07][81][9B][31]
232556109 : Rx: [84][00][3E][7C][07][81][9B][31]
232556359 : Rx: [84][00][3E][7C][07][81][9B][31]
232556593 : Rx: [01][4E][DB][87][87][85][9C][31]
232556843 : Rx: [01][4E][DB][87][87][85][9C][31]
232557093 : Rx: [01][4E][DB][87][87][85][9C][31]
232557343 : Rx: [01][4E][DB][87][87][85][9C][31]
232557578 : Rx: [84][00][87][85][B5][8A][9D][32]
232557828 : Rx: [84][00][87][85][B5][8A][9D][32]
232558078 : Rx: [84][00][87][85][B5][8A][9D][32]
232558328 : Rx: [84][00][87][85][B5][8A][9D][32]
232558562 : Rx: [04][00][87][85][B5][8A][9D][32]
232558812 : Rx: [04][00][87][85][B5][8A][9D][32]
232559062 : Rx: [04][00][B5][8A][88][8F][9E][32]
232559312 : Rx: [04][00][B5][8A][88][8F][9E][32]
232559546 : Rx: [84][00][B5][8A][88][8F][9E][32]
232559796 : Rx: [84][00][B5][8A][88][8F][9E][32]
232560046 : Rx: [84][00][88][8F][38][94][9F][32]
232560296 : Rx: [84][00][88][8F][38][94][9F][32]
232560531 : Rx: [04][00][88][8F][38][94][9F][32]
232560781 : Rx: [04][00][88][8F][38][94][9F][32]
232561031 : Rx: [04][00][88][8F][38][94][9F][32]
232561281 : Rx: [04][00][38][94][65][99][A0][32]
232561531 : Rx: [F9][51][8A][0A][65][99][A0][32]
232561765 : Rx: [84][00][38][94][65][99][A0][32]
232562015 : Rx: [84][00][38][94][65][99][A0][32]
232562265 : Rx: [84][00][38][94][65][99][A0][32]
232562515 : Rx: [04][00][38][94][65][99][A0][32]
232562750 : Rx: [04][00][65][99][30][9E][A1][32]
232563000 : Rx: [04][00][65][99][30][9E][A1][32]
232563250 : Rx: [04][00][65][99][30][9E][A1][32]
232563500 : Rx: [84][00][65][99][30][9E][A1][32]
232563734 : Rx: [84][00][30][9E][E7][A2][A2][32]
232563984 : Rx: [84][00][30][9E][E7][A2][A2][32]
232564234 : Rx fail
232564484 : Rx: [04][00][30][9E][E7][A2][A2][32]
232564718 : Rx fail
232564968 : Rx: [04][00][E7][A2][06][A8][A3][32]
232565218 : Rx: [04][00][E7][A2][06][A8][A3][32]
232565468 : Rx: [84][00][E7][A2][06][A8][A3][32]
232565703 : Rx: [84][00][E7][A2][06][A8][A3][32]
232565953 : Rx: [84][00][E7][A2][06][A8][A3][32]
232566203 : Rx: [84][00][E7][A2][06][A8][A3][32]
232566453 : Rx: [04][00][06][A8][A0][AC][A4][32]
232566703 : Rx: [04][00][06][A8][A0][AC][A4][32]
232566937 : Rx: [04][00][06][A8][A0][AC][A4][32]
232567187 : Rx: [04][00][06][A8][A0][AC][A4][32]
232567437 : Rx: [84][00][A0][AC][58][B1][A5][33]
232567687 : Rx: [84][00][A0][AC][58][B1][A5][33]
232567921 : Rx: [F9][52][01][02][58][B1][A5][33]
232568171 : Rx: [84][00][A0][AC][58][B1][A5][33]
232568421 : Rx: [04][00][A0][AC][58][B1][A5][33]
232568671 : Rx fail
232568906 : Rx: [04][00][58][B1][7E][B6][A6][33]
232569156 : Rx: [04][00][58][B1][7E][B6][A6][33]
232569406 : Rx: [84][00][58][B1][7E][B6][A6][33]
232569656 : Rx: [84][00][58][B1][7E][B6][A6][33]
232569890 : Rx: [84][00][7E][B6][0B][BB][A7][33]
232570140 : Rx: [84][00][7E][B6][0B][BB][A7][33]
232570390 : Rx: [04][00][7E][B6][0B][BB][A7][33]
232570640 : Rx fail
232570890 : Rx: [04][00][7E][B6][0B][BB][A7][33]
232571125 : Rx: [79][42][88][04][4C][BF][A8][34]
232571375 : Rx: [84][00][0B][BB][4C][BF][A8][34]
232571625 : Rx: [84][00][0B][BB][4C][BF][A8][34]
232571875 : Rx fail
232572109 : Rx: [84][00][4C][BF][D1][C3][A9][34]
232572359 : Rx: [04][00][4C][BF][D1][C3][A9][34]
232572609 : Rx fail
232572859 : Rx: [04][00][4C][BF][D1][C3][A9][34]
232573093 : Rx: [04][00][D1][C3][D4][C7][AA][36]
232573343 : Rx: [82][01][CE][C8][D4][C7][AA][36]
232573593 : Rx: [82][01][CE][C8][D4][C7][AA][36]
232573843 : Rx fail
232574078 : Rx: [82][01][CE][C8][D9][CB][AB][39]
232574328 : Rx: [79][42][BC][04][D9][CB][AB][39]
232574578 : Rx: [04][00][D4][C7][D9][CB][AB][39]
232574828 : Rx: [04][00][D4][C7][D9][CB][AB][39]
232575062 : Rx: [04][00][D9][CB][EE][D0][AC][39]
232575312 : Rx: [84][00][D9][CB][EE][D0][AC][39]
232575562 : Rx: [84][00][D9][CB][EE][D0][AC][39]
232575812 : Rx: [84][00][D9][CB][EE][D0][AC][39]
232576062 : Rx: [84][00][D9][CB][EE][D0][AC][39]
232576296 : Rx fail
232576546 : Rx fail
232576796 : Rx: [04][00][EE][D0][58][D5][AD][39]
232577031 : Rx: [04][00][EE][D0][58][D5][AD][39]
232577281 : Rx: [84][00][EE][D0][58][D5][AD][39]
232577531 : Rx: [84][00][58][D5][5F][D9][AE][39]
232577781 : Rx: [84][00][58][D5][5F][D9][AE][39]
232578031 : Rx fail
232578265 : Rx: [04][00][58][D5][5F][D9][AE][39]
232578515 : Rx: [04][00][5F][D9][4D][DE][AF][39]
232578765 : Rx: [04][00][5F][D9][4D][DE][AF][39]
232579015 : Rx: [04][00][5F][D9][4D][DE][AF][39]
232579250 : Rx: [84][00][5F][D9][4D][DE][AF][39]
232579500 : Rx fail
232579750 : Rx: [84][00][4D][DE][C7][E2][B0][39]
232580000 : Rx: [84][00][4D][DE][C7][E2][B0][39]
232580234 : Rx: [04][00][4D][DE][C7][E2][B0][39]
232580484 : Rx: [04][00][4D][DE][C7][E2][B0][39]
232580734 : Rx: [79][42][E7][04][19][E7][B1][38]
232580984 : Rx: [04][00][C7][E2][19][E7][B1][38]
232581218 : Rx: [84][00][C7][E2][19][E7][B1][38]
232581468 : Rx: [84][00][C7][E2][19][E7][B1][38]
232581718 : Rx: [84][00][C7][E2][19][E7][B1][38]
232581968 : Rx: [84][00][19][E7][CB][EB][B2][36]
232582218 : Rx: [04][00][19][E7][CB][EB][B2][36]
232582453 : Rx: [04][00][19][E7][CB][EB][B2][36]
