*** New Session***
02-11-2021 16:09:57
Product Name: hrm_pro
168045000 : Rx: [84][00][64][26][18][2A][2F][43]
168045250 : Rx: [84][00][18][2A][A7][2D][30][42]
168045484 : Rx: [84][00][18][2A][A7][2D][30][42]
168045734 : Rx: [04][00][18][2A][A7][2D][30][42]
168045984 : Rx: [04][00][A7][2D][19][31][31][43]
168046234 : Rx: [04][00][A7][2D][19][31][31][43]
168046468 : Rx: [04][00][A7][2D][19][31][31][43]
168046718 : Rx: [84][00][A7][2D][19][31][31][43]
168046968 : Rx: [84][00][19][31][90][34][32][44]
168047218 : Rx: [84][00][19][31][90][34][32][44]
168047453 : Rx: [84][00][19][31][90][34][32][44]
168047703 : Rx: [04][00][90][34][3A][38][33][45]
168047953 : Rx: [04][00][90][34][3A][38][33][45]
168048203 : Rx: [04][00][90][34][3A][38][33][45]
168048437 : Rx fail
168048687 : Rx: [84][00][3A][38][01][3C][34][43]
168048937 : Rx: [84][00][3A][38][01][3C][34][43]
168049187 : Rx: [84][00][3A][38][01][3C][34][43]
168049437 : Rx: [84][00][3A][38][01][3C][34][43]
168049671 : Rx fail
168049921 : Rx: [79][42][E7][08][D2][3F][35][41]
168050171 : Rx: [04][00][01][3C][D2][3F][35][41]
168050421 : Rx: [04][00][01][3C][D2][3F][35][41]
168050656 : Rx fail
168050906 : Rx: [89][FC][FF][FF][7A][43][36][40]
168051156 : Rx: [89][FC][FF][FF][7A][43][36][40]
168051406 : Rx: [89][FC][FF][FF][7A][43][36][40]
168051640 : Rx: [04][00][7A][43][DF][46][37][41]
168051890 : Rx: [04][00][7A][43][DF][46][37][41]
168052140 : Rx: [04][00][7A][43][DF][46][37][41]
168052390 : Rx: [04][00][DF][46][45][4A][38][44]
168052625 : Rx: [84][00][DF][46][45][4A][38][44]
168052875 : Rx: [84][00][DF][46][45][4A][38][44]
168053125 : Rx: [84][00][45][4A][E2][4D][39][45]
168053375 : Rx: [84][00][45][4A][E2][4D][39][45]
168053609 : Rx: [04][00][45][4A][E2][4D][39][45]
168053859 : Rx: [04][00][45][4A][E2][4D][39][45]
168054109 : Rx: [04][00][E2][4D][AB][51][3A][44]
168054359 : Rx: [04][00][E2][4D][AB][51][3A][44]
168054609 : Rx: [84][00][E2][4D][AB][51][3A][44]
168054843 : Rx: [84][00][E2][4D][AB][51][3A][44]
168055093 : Rx fail
168055343 : Rx: [84][00][AB][51][8C][55][3B][42]
168055593 : Rx: [04][00][AB][51][8C][55][3B][42]
168055828 : Rx: [04][00][AB][51][8C][55][3B][42]
168056078 : Rx: [04][00][8C][55][61][59][3C][40]
168056328 : Rx: [04][00][8C][55][61][59][3C][40]
168056578 : Rx: [84][00][8C][55][61][59][3C][40]
168056812 : Rx: [84][00][8C][55][61][59][3C][40]
168057062 : Rx: [84][00][61][59][E8][5C][3D][3F]
168057312 : Rx: [84][00][61][59][E8][5C][3D][3F]
168057562 : Rx: [04][00][61][59][E8][5C][3D][3F]
168057796 : Rx: [04][00][E8][5C][11][60][3E][42]
168058046 : Rx: [04][00][E8][5C][11][60][3E][42]
168058296 : Rx: [04][00][E8][5C][11][60][3E][42]
168058546 : Rx: [84][00][11][60][33][63][3F][43]
168058781 : Rx: [84][00][11][60][33][63][3F][43]
168059031 : Rx: [84][00][11][60][33][63][3F][43]
168059281 : Rx: [84][00][33][63][83][66][40][46]
168059531 : Rx: [04][00][33][63][83][66][40][46]
168059781 : Rx: [04][00][33][63][83][66][40][46]
168060015 : Rx: [04][00][33][63][83][66][40][46]
168060265 : Rx: [04][00][83][66][29][6A][41][47]
168060515 : Rx: [84][00][83][66][29][6A][41][47]
168060765 : Rx: [84][00][83][66][29][6A][41][47]
168061000 : Rx: [84][00][83][66][29][6A][41][47]
168061250 : Rx: [84][00][29][6A][0E][6E][42][45]
168061500 : Rx: [04][00][29][6A][0E][6E][42][45]
168061750 : Rx: [04][00][29][6A][0E][6E][42][45]
168061984 : Rx: [04][00][29][6A][0E][6E][42][45]
168062234 : Rx: [04][00][0E][6E][E4][71][43][42]
168062484 : Rx: [84][00][0E][6E][E4][71][43][42]
168062734 : Rx: [F9][42][77][09][E4][71][43][42]
168062968 : Rx: [84][00][0E][6E][E4][71][43][42]
168063218 : Rx: [84][00][E4][71][77][75][44][41]
168063468 : Rx: [04][00][E4][71][77][75][44][41]
168063718 : Rx: [04][00][E4][71][77][75][44][41]
168063953 : Rx: [04][00][77][75][06][79][45][42]
168064203 : Rx: [04][00][77][75][06][79][45][42]
168064453 : Rx: [84][00][77][75][06][79][45][42]
168064703 : Rx: [84][00][77][75][06][79][45][42]
168064937 : Rx fail
168065187 : Rx: [84][00][06][79][9F][7C][46][42]
168065437 : Rx: [04][00][06][79][9F][7C][46][42]
168065687 : Rx: [04][00][9F][7C][44][80][47][43]
168065937 : Rx: [04][00][9F][7C][44][80][47][43]
168066171 : Rx: [04][00][9F][7C][44][80][47][43]
168066421 : Rx: [84][00][9F][7C][44][80][47][43]
168066671 : Rx: [84][00][44][80][C1][83][48][43]
168066921 : Rx: [84][00][44][80][C1][83][48][43]
168067156 : Rx: [84][00][44][80][C1][83][48][43]
168067406 : Rx fail
168067656 : Rx: [01][5F][5D][87][E5][86][49][44]
168067906 : Rx: [01][5F][5D][87][E5][86][49][44]
168068140 : Rx: [01][5F][5D][87][E5][86][49][44]
168068390 : Rx: [84][00][E5][86][E8][89][4A][48]
168068640 : Rx: [84][00][E5][86][E8][89][4A][48]
168068890 : Rx: [84][00][E5][86][E8][89][4A][48]
168069125 : Rx: [84][00][E8][89][0E][8D][4B][4A]
168069375 : Rx: [04][00][E8][89][0E][8D][4B][4A]
168069625 : Rx: [04][00][E8][89][0E][8D][4B][4A]
168069875 : Rx: [04][00][0E][8D][73][90][4C][4B]
168070109 : Rx: [04][00][0E][8D][73][90][4C][4B]
168070359 : Rx: [84][00][0E][8D][73][90][4C][4B]
168070609 : Rx: [84][00][73][90][39][94][4D][49]
168070859 : Rx fail
168071109 : Rx: [84][00][73][90][39][94][4D][49]
168071343 : Rx: [04][00][73][90][39][94][4D][49]
168071593 : Rx: [04][00][39][94][EC][97][4E][46]
168071843 : Rx: [04][00][39][94][EC][97][4E][46]
168072093 : Rx: [04][00][39][94][EC][97][4E][46]
168072328 : Rx: [F9][51][0C][07][EC][97][4E][46]
168072578 : Rx: [84][00][EC][97][97][9B][4F][43]
168072828 : Rx: [84][00][EC][97][97][9B][4F][43]
168073078 : Rx: [84][00][EC][97][97][9B][4F][43]
168073312 : Rx: [04][00][EC][97][97][9B][4F][43]
168073562 : Rx: [04][00][97][9B][5C][9F][50][42]
168073812 : Rx: [04][00][97][9B][5C][9F][50][42]
168074062 : Rx: [04][00][97][9B][5C][9F][50][42]
168074296 : Rx: [84][00][97][9B][5C][9F][50][42]
168074546 : Rx: [84][00][5C][9F][24][A3][51][41]
168074796 : Rx: [84][00][5C][9F][24][A3][51][41]
168075046 : Rx: [84][00][5C][9F][24][A3][51][41]
168075281 : Rx: [04][00][5C][9F][24][A3][51][41]
168075531 : Rx: [79][47][68][08][C5][A6][52][40]
168075781 : Rx fail
168076031 : Rx: [04][00][24][A3][C5][A6][52][40]
168076281 : Rx: [84][00][C5][A6][1A][AA][53][41]
168076515 : Rx: [84][00][C5][A6][1A][AA][53][41]
168076765 : Rx: [84][00][C5][A6][1A][AA][53][41]
168077015 : Rx fail
168077265 : Rx: [04][00][1A][AA][6C][AD][54][44]
168077500 : Rx: [04][00][1A][AA][6C][AD][54][44]
168077750 : Rx: [04][00][1A][AA][6C][AD][54][44]
168078000 : Rx: [04][00][6C][AD][D0][B0][55][46]
168078250 : Rx: [84][00][6C][AD][D0][B0][55][46]
168078484 : Rx: [84][00][6C][AD][D0][B0][55][46]
168078734 : Rx: [F9][52][01][04][54][B4][56][47]
168078984 : Rx: [84][00][D0][B0][54][B4][56][47]
168079234 : Rx: [04][00][D0][B0][54][B4][56][47]
168079468 : Rx: [04][00][D0][B0][54][B4][56][47]
168079718 : Rx: [04][00][54][B4][FF][B7][57][45]
168079968 : Rx: [04][00][54][B4][FF][B7][57][45]
168080218 : Rx: [84][00][54][B4][FF][B7][57][45]
168080453 : Rx: [84][00][54][B4][FF][B7][57][45]
168080703 : Rx: [84][00][FF][B7][87][BB][58][45]
