*** New Session***
08-11-2021 16:14:20
Product Name: Foreruner
285390843 : Rx: [80][FF][FF][FF][9F][F3][B9][66]
285391093 : Rx: [80][FF][FF][FF][9F][F3][B9][66]
285391328 : Rx: [80][FF][FF][FF][F9][F5][BA][66]
285391578 : Rx: [80][FF][FF][FF][F9][F5][BA][65]
285391828 : Rx: [03][FF][AE][FF][F9][F5][BA][65]
285392078 : Rx: [03][FF][AE][FF][59][F8][BB][65]
285392312 : Rx: [03][FF][AE][FF][59][F8][BB][65]
285392562 : Rx: [03][FF][AE][FF][C5][FA][BC][63]
285392812 : Rx: [80][FF][FF][FF][C5][FA][BC][63]
285393062 : Rx: [80][FF][FF][FF][C5][FA][BC][63]
285393296 : Rx fail
285393546 : Rx: [80][FF][FF][FF][31][FD][BD][62]
285393796 : Rx: [00][FF][FF][FF][A3][FF][BE][62]
285394046 : Rx: [00][FF][FF][FF][A3][FF][BE][62]
285394281 : Rx: [00][FF][FF][FF][A3][FF][BE][62]
285394531 : Rx: [00][FF][FF][FF][1C][02][BF][61]
285394781 : Rx: [80][FF][FF][FF][1C][02][BF][61]
285395031 : Rx: [80][FF][FF][FF][95][04][C0][61]
285395265 : Rx: [80][FF][FF][FF][95][04][C0][61]
285395515 : Rx: [80][FF][FF][FF][95][04][C0][60]
285395765 : Rx: [00][FF][FF][FF][15][07][C1][60]
285396015 : Rx: [00][FF][FF][FF][15][07][C1][60]
285396265 : Rx: [00][FF][FF][FF][95][09][C2][60]
285396500 : Rx: [00][FF][FF][FF][95][09][C2][5F]
285396750 : Rx fail
285397000 : Rx: [80][FF][FF][FF][1B][0C][C3][5F]
285397250 : Rx: [80][FF][FF][FF][1B][0C][C3][5F]
285397484 : Rx: [80][FF][FF][FF][A8][0E][C4][5E]
285397734 : Rx: [00][FF][FF][FF][A8][0E][C4][5E]
285397984 : Rx fail
285398234 : Rx: [00][FF][FF][FF][35][11][C5][5E]
285398468 : Rx fail
285398718 : Rx: [80][FF][FF][FF][35][11][C5][5D]
285398968 : Rx: [80][FF][FF][FF][C9][13][C6][5D]
285399218 : Rx: [80][FF][FF][FF][C9][13][C6][5D]
285399453 : Rx: [80][FF][FF][FF][64][16][C7][5C]
285399703 : Rx: [00][FF][FF][FF][64][16][C7][5C]
285399953 : Rx: [00][FF][FF][FF][64][16][C7][5C]
285400203 : Rx: [00][FF][FF][FF][FF][18][C8][5C]
285400437 : Rx: [00][FF][FF][FF][FF][18][C8][5C]
285400687 : Rx: [80][FF][FF][FF][FF][18][C8][5B]
285400937 : Rx: [80][FF][FF][FF][A2][1B][C9][5B]
285401187 : Rx: [80][FF][FF][FF][A2][1B][C9][5B]
285401421 : Rx fail
285401671 : Rx: [00][FF][FF][FF][45][1E][CA][5A]
285401921 : Rx: [00][FF][FF][FF][45][1E][CA][5A]
285402171 : Rx: [00][FF][FF][FF][EF][20][CB][5A]
285402421 : Rx: [00][FF][FF][FF][EF][20][CB][5A]
285402656 : Rx: [80][FF][FF][FF][EF][20][CB][59]
285402906 : Rx: [80][FF][FF][FF][A1][23][CC][59]
285403156 : Rx: [80][FF][FF][FF][A1][23][CC][59]
285403406 : Rx fail
285403640 : Rx: [00][FF][FF][FF][53][26][CD][59]
285403890 : Rx: [00][FF][FF][FF][53][26][CD][59]
285404140 : Rx: [00][FF][FF][FF][05][29][CE][59]
285404390 : Rx: [00][FF][FF][FF][05][29][CE][59]
285404625 : Rx: [80][FF][FF][FF][05][29][CE][59]
285404875 : Rx: [80][FF][FF][FF][B7][2B][CF][59]
285405125 : Rx: [80][FF][FF][FF][B7][2B][CF][59]
285405375 : Rx: [80][FF][FF][FF][B7][2B][CF][59]
285405625 : Rx: [00][FF][FF][FF][71][2E][D0][58]
285405859 : Rx: [00][FF][FF][FF][71][2E][D0][58]
285406109 : Rx: [00][FF][FF][FF][2B][31][D1][58]
285406359 : Rx: [00][FF][FF][FF][2B][31][D1][58]
285406609 : Rx: [80][FF][FF][FF][2B][31][D1][58]
285406843 : Rx fail
285407093 : Rx fail
285407343 : Rx: [80][FF][FF][FF][E5][33][D2][58]
285407593 : Rx: [00][FF][FF][FF][9F][36][D3][58]
285407828 : Rx fail
285408078 : Rx fail
285408328 : Rx: [00][FF][FF][FF][59][39][D4][58]
285408578 : Rx fail
285408812 : Rx fail
285409062 : Rx: [89][FD][FF][FF][13][3C][D5][58]
285409312 : Rx: [89][FD][FF][FF][13][3C][D5][58]
285409562 : Rx: [00][FF][FF][FF][D5][3E][D6][57]
285409796 : Rx fail
285410046 : Rx fail
285410296 : Rx: [00][FF][FF][FF][97][41][D7][57]
285410546 : Rx: [80][FF][FF][FF][97][41][D7][57]
285410781 : Rx: [80][FF][FF][FF][97][41][D7][57]
285411031 : Rx: [80][FF][FF][FF][59][44][D8][57]
285411281 : Rx: [80][FF][FF][FF][59][44][D8][57]
285411531 : Rx: [00][FF][FF][FF][59][44][D8][56]
285411781 : Rx: [00][FF][FF][FF][23][47][D9][56]
285412015 : Rx: [00][FF][FF][FF][23][47][D9][56]
285412265 : Rx: [00][FF][FF][FF][23][47][D9][56]
285412515 : Rx: [80][FF][FF][FF][ED][49][DA][56]
285412765 : Rx: [80][FF][FF][FF][ED][49][DA][54]
285413000 : Rx: [80][FF][FF][FF][C8][4C][DB][54]
285413250 : Rx: [80][FF][FF][FF][C8][4C][DB][54]
285413500 : Rx: [00][FF][FF][FF][C8][4C][DB][53]
285413750 : Rx: [00][FF][FF][FF][AC][4F][DC][53]
285413984 : Rx: [00][FF][FF][FF][AC][4F][DC][53]
285414234 : Rx: [00][FF][FF][FF][AC][4F][DC][53]
285414484 : Rx: [80][FF][FF][FF][90][52][DD][53]
285414734 : Rx: [80][FF][FF][FF][90][52][DD][53]
285414968 : Rx: [80][FF][FF][FF][90][52][DD][53]
285415218 : Rx: [80][FF][FF][FF][74][55][DE][53]
285415468 : Rx: [00][FF][FF][FF][74][55][DE][53]
285415718 : Rx: [00][FF][FF][FF][74][55][DE][52]
285415953 : Rx: [00][FF][FF][FF][61][58][DF][52]
285416203 : Rx: [00][FF][FF][FF][61][58][DF][52]
285416453 : Rx: [80][FF][FF][FF][61][58][DF][52]
285416703 : Rx: [80][FF][FF][FF][4E][5B][E0][52]
285416953 : Rx: [80][FF][FF][FF][4E][5B][E0][52]
285417187 : Rx: [80][FF][FF][FF][4E][5B][E0][52]
285417437 : Rx: [00][FF][FF][FF][3B][5E][E1][52]
285417687 : Rx: [00][FF][FF][FF][3B][5E][E1][52]
285417937 : Rx fail
285418171 : Rx: [00][FF][FF][FF][28][61][E2][52]
285418421 : Rx: [80][FF][FF][FF][28][61][E2][52]
285418671 : Rx: [80][FF][FF][FF][28][61][E2][52]
285418921 : Rx: [80][FF][FF][FF][15][64][E3][52]
285419156 : Rx fail
285419406 : Rx: [00][FF][FF][FF][15][64][E3][52]
285419656 : Rx: [00][FF][FF][FF][02][67][E4][52]
285419906 : Rx: [00][FF][FF][FF][02][67][E4][52]
285420140 : Rx: [00][FF][FF][FF][02][67][E4][52]
285420390 : Rx: [80][FF][FF][FF][EF][69][E5][52]
285420640 : Rx: [80][FF][FF][FF][EF][69][E5][52]
285420890 : Rx: [80][FF][FF][FF][EF][69][E5][52]
285421125 : Rx: [80][FF][FF][FF][DC][6C][E6][52]
285421375 : Rx: [00][FF][FF][FF][DC][6C][E6][52]
285421625 : Rx: [00][FF][FF][FF][DC][6C][E6][53]
285421875 : Rx: [00][FF][FF][FF][C0][6F][E7][53]
285422125 : Rx: [00][FF][FF][FF][C0][6F][E7][53]
285422359 : Rx: [80][FF][FF][FF][C0][6F][E7][53]
285422609 : Rx: [80][FF][FF][FF][92][72][E8][55]
285422859 : Rx: [80][FF][FF][FF][92][72][E8][55]
285423109 : Rx: [80][FF][FF][FF][92][72][E8][55]
285423343 : Rx: [00][FF][FF][FF][64][75][E9][55]
285423593 : Rx: [00][FF][FF][FF][64][75][E9][56]
285423843 : Rx fail
285424093 : Rx: [00][FF][FF][FF][2E][78][EA][56]
285424328 : Rx: [80][FF][FF][FF][2E][78][EA][56]
285424578 : Rx: [80][FF][FF][FF][F8][7A][EB][56]
285424828 : Rx fail
285425078 : Rx: [80][FF][FF][FF][F8][7A][EB][56]
285425312 : Rx: [02][01][94][C8][C2][7D][EC][56]
285425562 : Rx: [02][01][94][C8][C2][7D][EC][56]
285425812 : Rx fail
285426062 : Rx fail
285426296 : Rx: [80][FF][FF][FF][8C][80][ED][56]
285426546 : Rx: [80][FF][FF][FF][8C][80][ED][55]
285426796 : Rx fail
285427046 : Rx fail
285427296 : Rx: [00][FF][FF][FF][5E][83][EE][55]
285427531 : Rx: [00][FF][FF][FF][30][86][EF][55]
285427781 : Rx fail
285428031 : Rx: [00][FF][FF][FF][30][86][EF][55]
285428281 : Rx fail
285428515 : Rx fail
285428765 : Rx: [80][FF][FF][FF][02][89][F0][55]
285429015 : Rx: [80][FF][FF][FF][D4][8B][F1][55]
285429265 : Rx: [00][FF][FF][FF][D4][8B][F1][55]
285429500 : Rx fail
285429750 : Rx: [00][FF][FF][FF][A6][8E][F2][55]
285430000 : Rx: [00][FF][FF][FF][A6][8E][F2][55]
285430250 : Rx: [80][FF][FF][FF][78][91][F3][55]
285430484 : Rx: [80][FF][FF][FF][78][91][F3][55]
285430734 : Rx: [80][FF][FF][FF][78][91][F3][55]
285430984 : Rx: [80][FF][FF][FF][4A][94][F4][55]
285431234 : Rx: [00][FF][FF][FF][4A][94][F4][55]
285431468 : Rx: [00][FF][FF][FF][4A][94][F4][56]
285431718 : Rx: [00][FF][FF][FF][14][97][F5][56]
285431968 : Rx: [00][FF][FF][FF][14][97][F5][56]
285432218 : Rx: [80][FF][FF][FF][14][97][F5][56]
285432453 : Rx fail
285432703 : Rx: [80][FF][FF][FF][DE][99][F6][58]
285432953 : Rx: [80][FF][FF][FF][98][9C][F7][58]
285433203 : Rx: [00][FF][FF][FF][98][9C][F7][58]
285433453 : Rx: [00][FF][FF][FF][98][9C][F7][58]
285433687 : Rx fail
285433937 : Rx: [00][FF][FF][FF][52][9F][F8][58]
285434187 : Rx: [80][FF][FF][FF][52][9F][F8][58]
285434437 : Rx: [80][FF][FF][FF][0C][A2][F9][58]
285434671 : Rx: [80][FF][FF][FF][0C][A2][F9][58]
285434921 : Rx: [80][FF][FF][FF][0C][A2][F9][58]
285435171 : Rx: [00][FF][FF][FF][C6][A4][FA][58]
285435421 : Rx: [00][FF][FF][FF][C6][A4][FA][58]
285435656 : Rx fail
285435906 : Rx: [00][FF][FF][FF][70][A7][FB][5A]
285436156 : Rx: [80][FF][FF][FF][70][A7][FB][5A]
285436406 : Rx: [80][FF][FF][FF][1A][AA][FC][5A]
285436640 : Rx fail
285436890 : Rx: [80][FF][FF][FF][1A][AA][FC][5A]
285437140 : Rx: [00][FF][FF][FF][C4][AC][FD][5A]
285437390 : Rx: [00][FF][FF][FF][C4][AC][FD][5A]
285437640 : Rx: [00][FF][FF][FF][C4][AC][FD][5A]
285437875 : Rx: [00][FF][FF][FF][6E][AF][FE][5A]
285438125 : Rx: [80][FF][FF][FF][6E][AF][FE][5A]
285438375 : Rx: [80][FF][FF][FF][18][B2][FF][5A]
285438625 : Rx: [80][FF][FF][FF][18][B2][FF][5B]
285438859 : Rx: [80][FF][FF][FF][18][B2][FF][5B]
285439109 : Rx: [00][FF][FF][FF][BB][B4][00][5B]
285439359 : Rx: [00][FF][FF][FF][BB][B4][00][5B]
285439609 : Rx: [00][FF][FF][FF][BB][B4][00][5B]
285439843 : Rx: [00][FF][FF][FF][5E][B7][01][5B]
285440093 : Rx: [80][FF][FF][FF][5E][B7][01][5B]
285440343 : Rx: [80][FF][FF][FF][01][BA][02][5B]
285440593 : Rx: [80][FF][FF][FF][01][BA][02][5C]
285440828 : Rx: [80][FF][FF][FF][01][BA][02][5C]
285441078 : Rx: [00][FF][FF][FF][9C][BC][03][5C]
285441328 : Rx: [00][FF][FF][FF][9C][BC][03][5C]
285441578 : Rx fail
285441812 : Rx: [00][FF][FF][FF][30][BF][04][5D]
285442062 : Rx: [83][FF][AE][FF][30][BF][04][5D]
285442312 : Rx: [83][FF][AE][FF][C4][C1][05][5D]
285442562 : Rx: [83][FF][AE][FF][C4][C1][05][5F]
285442796 : Rx fail
285443046 : Rx: [00][FF][FF][FF][4A][C4][06][5F]
285443296 : Rx fail
285443546 : Rx: [00][FF][FF][FF][CA][C6][07][60]
285443796 : Rx: [00][FF][FF][FF][CA][C6][07][60]
285444031 : Rx fail
285444281 : Rx fail
285444531 : Rx: [80][FF][FF][FF][4A][C9][08][61]
285444781 : Rx: [80][FF][FF][FF][C3][CB][09][61]
