*** New Session***
03-11-2021 11:05:47
Product Name: hrm-Pro
236247671 : Rx: [04][00][2A][F6][1B][F9][85][50]
236247921 : Rx: [04][00][2A][F6][1B][F9][85][50]
236248171 : Rx fail
236248421 : Rx: [84][00][1B][F9][F5][FB][86][51]
236248656 : Rx: [84][00][1B][F9][F5][FB][86][51]
236248906 : Rx: [84][00][F5][FB][C3][FE][87][53]
236249156 : Rx: [84][00][F5][FB][C3][FE][87][53]
236249406 : Rx: [04][00][F5][FB][C3][FE][87][53]
236249640 : Rx: [04][00][C3][FE][80][01][88][54]
236249890 : Rx: [04][00][C3][FE][80][01][88][54]
236250140 : Rx: [04][00][80][01][29][04][89][56]
236250390 : Rx: [84][00][80][01][29][04][89][56]
236250640 : Rx: [84][00][80][01][29][04][89][56]
236250875 : Rx: [84][00][29][04][BA][06][8A][58]
236251125 : Rx: [84][00][29][04][BA][06][8A][58]
236251375 : Rx: [04][00][29][04][BA][06][8A][58]
236251625 : Rx: [04][00][BA][06][3F][09][8B][5B]
236251859 : Rx: [04][00][BA][06][3F][09][8B][5B]
236252109 : Rx fail
236252359 : Rx: [84][00][3F][09][D9][0B][8C][5C]
236252609 : Rx: [84][00][3F][09][D9][0B][8C][5C]
236252843 : Rx: [84][00][D9][0B][B2][0E][8D][5C]
236253093 : Rx: [84][00][D9][0B][B2][0E][8D][5C]
236253343 : Rx: [04][00][D9][0B][B2][0E][8D][5C]
236253593 : Rx: [04][00][B2][0E][79][11][8E][5A]
236253828 : Rx fail
236254078 : Rx: [04][00][79][11][49][14][8F][57]
236254328 : Rx: [84][00][79][11][49][14][8F][57]
236254578 : Rx: [84][00][79][11][49][14][8F][57]
236254812 : Rx: [84][00][79][11][49][14][8F][57]
236255062 : Rx: [84][00][49][14][0D][17][90][57]
236255312 : Rx: [04][00][49][14][0D][17][90][57]
236255562 : Rx: [04][00][0D][17][D4][19][91][57]
236255812 : Rx: [79][42][5F][05][D4][19][91][57]
236256046 : Rx fail
236256296 : Rx: [84][00][D4][19][A4][1C][92][57]
236256546 : Rx: [84][00][D4][19][A4][1C][92][57]
236256796 : Rx: [84][00][D4][19][A4][1C][92][57]
236257031 : Rx: [84][00][A4][1C][65][1F][93][57]
236257281 : Rx: [04][00][A4][1C][65][1F][93][57]
236257531 : Rx: [04][00][A4][1C][65][1F][93][57]
236257781 : Rx: [04][00][65][1F][23][22][94][57]
236258015 : Rx: [04][00][65][1F][23][22][94][57]
236258265 : Rx: [84][00][23][22][DA][24][95][57]
236258515 : Rx: [84][00][23][22][DA][24][95][57]
236258765 : Rx: [84][00][23][22][DA][24][95][57]
