*** New Session***
02-11-2021 09:04:21
Product Name: Forerunner
142533343 : Rx: [00][FF][FF][FF][B5][34][88][60]
142533593 : Rx: [00][FF][FF][FF][B5][34][88][60]
142533843 : Rx fail
142534078 : Rx: [80][FF][FF][FF][35][37][89][60]
142534328 : Rx: [80][FF][FF][FF][35][37][89][60]
142534578 : Rx: [80][FF][FF][FF][B5][39][8A][60]
142534828 : Rx: [80][FF][FF][FF][B5][39][8A][60]
142535062 : Rx: [00][FF][FF][FF][B5][39][8A][60]
142535312 : Rx: [00][FF][FF][FF][35][3C][8B][60]
142535562 : Rx: [00][FF][FF][FF][35][3C][8B][60]
142535812 : Rx: [00][FF][FF][FF][B5][3E][8C][60]
142536046 : Rx: [80][FF][FF][FF][B5][3E][8C][60]
142536296 : Rx: [80][FF][FF][FF][B5][3E][8C][60]
142536546 : Rx: [80][FF][FF][FF][35][41][8D][60]
142536796 : Rx: [80][FF][FF][FF][35][41][8D][60]
142537046 : Rx: [00][FF][FF][FF][B5][43][8E][60]
142537281 : Rx: [00][FF][FF][FF][B5][43][8E][60]
142537531 : Rx: [00][FF][FF][FF][B5][43][8E][60]
142537781 : Rx: [00][FF][FF][FF][35][46][8F][60]
142538031 : Rx fail
142538265 : Rx: [80][FF][FF][FF][B5][48][90][60]
142538515 : Rx fail
142538765 : Rx: [80][FF][FF][FF][B5][48][90][60]
142539015 : Rx: [09][FD][FF][FF][35][4B][91][60]
142539250 : Rx: [09][FD][FF][FF][35][4B][91][60]
142539500 : Rx: [09][FD][FF][FF][B5][4D][92][60]
142539750 : Rx: [09][FD][FF][FF][B5][4D][92][60]
142540000 : Rx: [80][FF][FF][FF][B5][4D][92][60]
142540234 : Rx: [80][FF][FF][FF][35][50][93][60]
142540484 : Rx: [80][FF][FF][FF][35][50][93][60]
142540734 : Rx: [80][FF][FF][FF][B5][52][94][60]
142540984 : Rx: [00][FF][FF][FF][B5][52][94][60]
142541218 : Rx: [00][FF][FF][FF][B5][52][94][5F]
142541468 : Rx: [00][FF][FF][FF][3B][55][95][5F]
142541718 : Rx: [00][FF][FF][FF][3B][55][95][5F]
142541968 : Rx: [80][FF][FF][FF][3B][55][95][5F]
142542218 : Rx: [80][FF][FF][FF][C8][57][96][5E]
142542453 : Rx: [80][FF][FF][FF][C8][57][96][5E]
142542703 : Rx: [80][FF][FF][FF][55][5A][97][5E]
142542953 : Rx: [00][FF][FF][FF][55][5A][97][5E]
142543203 : Rx: [00][FF][FF][FF][55][5A][97][5D]
142543437 : Rx: [00][FF][FF][FF][E9][5C][98][5D]
142543687 : Rx: [00][FF][FF][FF][E9][5C][98][5D]
142543937 : Rx: [80][FF][FF][FF][7D][5F][99][5D]
142544187 : Rx: [80][FF][FF][FF][7D][5F][99][5C]
142544421 : Rx: [80][FF][FF][FF][7D][5F][99][5C]
142544671 : Rx: [80][FF][FF][FF][18][62][9A][5C]
142544921 : Rx: [00][FF][FF][FF][18][62][9A][5C]
142545171 : Rx: [00][FF][FF][FF][18][62][9A][5C]
142545406 : Rx fail
142545656 : Rx: [00][FF][FF][FF][B3][64][9B][5C]
142545906 : Rx: [80][FF][FF][FF][4E][67][9C][5C]
142546156 : Rx: [80][FF][FF][FF][4E][67][9C][5C]
142546390 : Rx: [80][FF][FF][FF][4E][67][9C][5C]
142546640 : Rx: [80][FF][FF][FF][E9][69][9D][5C]
142546890 : Rx: [00][FF][FF][FF][E9][69][9D][5C]
142547140 : Rx fail
142547390 : Rx: [00][FF][FF][FF][A3][6C][9E][58]
142547625 : Rx fail
142547875 : Rx: [80][FF][FF][FF][A3][6C][9E][58]
142548125 : Rx: [80][FF][FF][FF][5D][6F][9F][58]
142548375 : Rx: [80][FF][FF][FF][5D][6F][9F][58]
142548609 : Rx fail
142548859 : Rx fail
142549109 : Rx: [00][FF][FF][FF][17][72][A0][57]
142549359 : Rx: [00][FF][FF][FF][D9][74][A1][57]
142549593 : Rx fail
142549843 : Rx fail
142550093 : Rx: [80][FF][FF][FF][9B][77][A2][57]
142550343 : Rx: [80][FF][FF][FF][9B][77][A2][57]
142550578 : Rx: [80][FF][FF][FF][9B][77][A2][57]
142550828 : Rx fail
142551078 : Rx: [00][FF][FF][FF][5D][7A][A3][58]
142551328 : Rx: [00][FF][FF][FF][17][7D][A4][58]
142551578 : Rx: [00][FF][FF][FF][17][7D][A4][58]
142551812 : Rx: [80][FF][FF][FF][17][7D][A4][58]
142552062 : Rx: [80][FF][FF][FF][C9][7F][A5][59]
142552312 : Rx: [80][FF][FF][FF][C9][7F][A5][59]
142552562 : Rx fail
142552796 : Rx: [00][FF][FF][FF][7B][82][A6][59]
142553046 : Rx: [00][FF][FF][FF][7B][82][A6][5A]
142553296 : Rx: [00][FF][FF][FF][7B][82][A6][5A]
142553546 : Rx: [00][FF][FF][FF][25][85][A7][5A]
142553781 : Rx: [80][FF][FF][FF][25][85][A7][5A]
142554031 : Rx: [80][FF][FF][FF][C8][87][A8][5B]
142554281 : Rx: [80][FF][FF][FF][C8][87][A8][5B]
142554531 : Rx: [80][FF][FF][FF][C8][87][A8][5B]
142554765 : Rx: [00][FF][FF][FF][6B][8A][A9][5B]
142555015 : Rx: [00][FF][FF][FF][6B][8A][A9][5C]
142555265 : Rx: [00][FF][FF][FF][6B][8A][A9][5C]
142555515 : Rx: [00][FF][FF][FF][06][8D][AA][5C]
